Job Title,Company,Location,Required Skills,Job Description,Experience,Salary
QA Automation Engineer,Airbnb,"Mumbai, India","Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Communication, SQL, Docker","Join our growing team at Airbnb in Mumbai, India! Build automated testing suites for web applications using Selenium and Python. Integrate tests into the CI/CD pipeline to ensure quality releases. We offer great benefits, flexible hours, and professional development.",3-5 years,"$90,000 - $120,000"
C++ Software Developer,Netflix,"New York, NY","C++, Algorithms, Data Structures, Linux, Multithreading, Git, Object-Oriented Programming, Analytics, Teamwork","Join our growing team at Netflix in New York, NY! Write high-performance low-level applications in C++. Optimize algorithms, design efficient data structures, and implement multithreading solutions. We offer great benefits, flexible hours, and professional development.",2-5 years,"$110,000 - $150,000"
UI/UX Designer,Twitter,"Austin, TX","Adobe XD, Wireframing, Prototyping, User Research, Visual Design, UI Design, Git","Join our growing team at Twitter in Austin, TX! Design visual aesthetics, layout structures, and intuitive workflows for web and mobile platforms. Test interface usability and iterate based on feedback. We offer great benefits, flexible hours, and professional development.",5+ years,"$130,000 - $170,000"
Full Stack Developer,Pinterest,"New York, NY","JavaScript, React, Node.js, Express, SQL, Git, REST APIs, Teamwork, Docker","Join our growing team at Pinterest in New York, NY! Responsible for both frontend and backend development. Design user interactions, develop APIs, manage databases, and ensure performance and scalability. We offer great benefits, flexible hours, and professional development.",5+ years,"$160,000 - $210,000"
QA Automation Engineer,Zoom,"Vancouver, Canada","Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Project Management, Problem Solving","Join our growing team at Zoom in Vancouver, Canada! Build automated testing suites for web applications using Selenium and Python. Integrate tests into the CI/CD pipeline to ensure quality releases. We offer great benefits, flexible hours, and professional development.",3-5 years,"$90,000 - $120,000"
Cloud Architect,Notion,"New York, NY","AWS, Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Linux, Kubernetes, Project Management, Teamwork","Join our growing team at Notion in New York, NY! Design and oversee cloud computing strategies and deployment plans. Architect secure, scalable, and resilient multi-tenant cloud solutions using AWS and Azure. We offer great benefits, flexible hours, and professional development.",2-4 years,"$95,000 - $130,000"
Backend Developer,Lyft,"Austin, TX","Python, Flask, Django, SQL, PostgreSQL, REST APIs, Git, Docker, Agile","Join our growing team at Lyft in Austin, TX! Responsible for server-side application logic, database design, optimization, and API integration. Work with Docker and cloud databases to deploy robust microservices. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $200,000"
QA Automation Engineer,Spotify,Remote (Europe),"Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Communication, Scrum, Docker","Join our growing team at Spotify in Remote (Europe)! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",1-3 years,"$65,000 - $85,000"
Machine Learning Engineer,Google,"Toronto, Canada","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, SQL, Docker, Git, Agile, Communication","Join our growing team at Google in Toronto, Canada! Design, build, and deploy machine learning models in PyTorch or TensorFlow. Scale training pipelines and run predictions on massive datasets. We offer great benefits, flexible hours, and professional development.",3-6 years,"$130,000 - $175,000"
Data Analyst,Twitter,Remote (US),"SQL, Excel, Python, Power BI, Tableau, Data Visualization, Statistics, Docker, Teamwork, Project Management","Join our growing team at Twitter in Remote (US)! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",4+ years,"$110,000 - $145,000"
Backend Developer,Robinhood,"Hyderabad, India","Python, Flask, Django, SQL, PostgreSQL, Git, Docker, Communication","Join our growing team at Robinhood in Hyderabad, India! Design and build scalable server-side systems and databases. Create secure, high-performance RESTful APIs to integrate with modern web frontends. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $200,000"
QA Automation Engineer,GitLab,"Boston, MA","Python, Selenium, Java, Test Automation, API Testing, CI/CD, Git, Project Management","Join our growing team at GitLab in Boston, MA! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$125,000 - $160,000"
Java Software Engineer,AMD,"Berlin, Germany","Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Scrum","Join our growing team at AMD in Berlin, Germany! Build scalable Java applications. Coordinate database operations with Hibernate, secure microservices, and containerize systems using Docker. We offer great benefits, flexible hours, and professional development.",5+ years,"$150,000 - $195,000"
UI/UX Designer,Notion,"San Francisco, CA","Figma, Adobe XD, Wireframing, Prototyping, User Research, Visual Design, UI Design, Docker","Join our growing team at Notion in San Francisco, CA! Create user-centered designs by understanding business requirements and user feedback. Conduct user research and deliver high-fidelity wireframes and interactive prototypes in Figma. We offer great benefits, flexible hours, and professional development.",2-5 years,"$90,000 - $125,000"
